,value,min,max,dsc,sym,dev,timestamp
2,25.57876779936893,0,100,Hygrometer,%,BME680,1614597755.5177095
3,331.58,300000,1100000,VOC,KOhm,BME680,1614597755.5177095
0,28.399140625,-40,85,Thermometer,°c,BME680,1614597816.4602857
1,990.6907581229701,300,1100,Barometer,hPa,BME680,1614597816.4602857
2,25.571675430342086,0,100,Hygrometer,%,BME680,1614597816.4602857
3,334.45,300000,1100000,VOC,KOhm,BME680,1614597816.4602857
0,28.3821484375,-40,85,Thermometer,°c,BME680,1614597877.3928995
1,990.6940105444959,300,1100,Barometer,hPa,BME680,1614597877.3928995
2,25.586852623087953,0,100,Hygrometer,%,BME680,1614597877.3928995
3,333.488,300000,1100000,VOC,KOhm,BME680,1614597877.3928995
0,28.3673046875,-40,85,Thermometer,°c,BME680,1614597938.3302083
1,990.7341382791368,300,1100,Barometer,hPa,BME680,1614597938.3302083
2,25.613174690812354,0,100,Hygrometer,%,BME680,1614597938.3302083
3,334.129,300000,1100000,VOC,KOhm,BME680,1614597938.3302083
0,28.3503125,-40,85,Thermometer,°c,BME680,1614597999.2111335
1,990.751491118056,300,1100,Barometer,hPa,BME680,1614597999.2111335
2,25.589922732132237,0,100,Hygrometer,%,BME680,1614597999.2111335
3,333.808,300000,1100000,VOC,KOhm,BME680,1614597999.2111335
0,28.33390625,-40,85,Thermometer,°c,BME680,1614598060.130241
1,990.7574225056491,300,1100,Barometer,hPa,BME680,1614598060.130241
2,25.616124996449614,0,100,Hygrometer,%,BME680,1614598060.130241
3,330.635,300000,1100000,VOC,KOhm,BME680,1614598060.130241
0,28.3159375,-40,85,Thermometer,°c,BME680,1614598121.3419058
1,990.7802870638442,300,1100,Barometer,hPa,BME680,1614598121.3419058
2,25.603778835997012,0,100,Hygrometer,%,BME680,1614598121.3419058
3,332.85,300000,1100000,VOC,KOhm,BME680,1614598121.3419058
0,28.3040234375,-40,85,Thermometer,°c,BME680,1614598182.2560904
1,990.807383609384,300,1100,Barometer,hPa,BME680,1614598182.2560904
2,25.56445242454384,0,100,Hygrometer,%,BME680,1614598182.2560904
3,333.169,300000,1100000,VOC,KOhm,BME680,1614598182.2560904
0,28.2958203125,-40,85,Thermometer,°c,BME680,1614598243.2203012
1,990.8438414078081,300,1100,Barometer,hPa,BME680,1614598243.2203012
2,25.53639359823101,0,100,Hygrometer,%,BME680,1614598243.2203012
3,334.129,300000,1100000,VOC,KOhm,BME680,1614598243.2203012
0,28.2825390625,-40,85,Thermometer,°c,BME680,1614598304.1412702
1,990.8705471212988,300,1100,Barometer,hPa,BME680,1614598304.1412702
2,25.551847081481597,0,100,Hygrometer,%,BME680,1614598304.1412702
3,331.265,300000,1100000,VOC,KOhm,BME680,1614598304.1412702
0,28.2692578125,-40,85,Thermometer,°c,BME680,1614598365.0802674
1,990.8937253643236,300,1100,Barometer,hPa,BME680,1614598365.0802674
2,25.56181404937912,0,100,Hygrometer,%,BME680,1614598365.0802674
3,329.694,300000,1100000,VOC,KOhm,BME680,1614598365.0802674
0,28.2548046875,-40,85,Thermometer,°c,BME680,1614598426.0224392
1,990.9080072918774,300,1100,Barometer,hPa,BME680,1614598426.0224392
2,25.544256784152495,0,100,Hygrometer,%,BME680,1614598426.0224392
3,331.58,300000,1100000,VOC,KOhm,BME680,1614598426.0224392
0,28.250703125,-40,85,Thermometer,°c,BME680,1614598487.000186
1,990.9368099603233,300,1100,Barometer,hPa,BME680,1614598487.000186
2,25.500060948658277,0,100,Hygrometer,%,BME680,1614598487.000186
3,331.897,300000,1100000,VOC,KOhm,BME680,1614598487.000186
0,28.255390625,-40,85,Thermometer,°c,BME680,1614598547.951407
1,990.96886305251,300,1100,Barometer,hPa,BME680,1614598547.951407
2,25.429132623882026,0,100,Hygrometer,%,BME680,1614598547.951407
